Apartment_names,Spezialisierung 1,Spezialisierung 2,Spezialisierung 3,Klassifikation,Adresse,PLZ,Ort,Telefon,Email,Website,Source_Link
Adaastra Boutique Hotel Naters,Wanderhotel,Seminarhotel,Bikehotel,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Furkastrasse 16,3904,Naters,+41279229999,happy@mounge.ch,http://www.mounge.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-cfi-hotel-restaurants-touring
Adhhoc Hotel Naters,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Furkastrasse 7,3904,Naters,+41279231818,happy@mounge.ch,http://www.mounge.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-adhhoc-hotel
Adina Apartment Hotel Geneva Châtelaine,Apparthotel,,,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Route de Meyrin 125,1219,Châtelaine,+41223324500,geneva@adina.eu,https://www.adinahotels.com/de/apartments/geneva/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-adina-hotel-geneva
Adler Adelboden Adelboden,Wanderhotel,Wellness,Schneesporthotel,Klassiert als 3-Sterne Superior Hotel durch HotellerieSuisse,Dorfstrasse 19,3715,Adelboden,+41336734141,info@adleradelboden.ch,https://www.adleradelboden.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-adler-adelboden
Adler Boutique Hotel & Pub Murten,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,,3280,Murten,+41266726669,home@adler-murten.ch,https://www.adler-murten.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-adler-freiburger-falle
ADLER HOTEL Appenzell,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Weissbadstrasse 2,9050,Appenzell,+41717871389,info@adlerhotel.ch,http://www.adlerhotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-adler-appenzell
Adrenalin Backpackers Hostel Braunwald,,,,N/A,Alpinaweg 3,8784,Braunwald,+41793472905,info@adrenalin.gl,http://www.adrenalin.gl,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-adrenalin-backpackers-hostel
Adventure Hostel Klosters Klosters,,,,N/A,Landstrasse 171,7250,Klosters,+41814221229,info@adventurehostel.ch,http://www.adventurehostel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-adventure-hostel-klosters
Aelggialp Berggasthaus Sachseln,,,,N/A,Aelggi 1,6072,Sachseln,+41416751362,info@aelggialp.info,http://www.aelggialp.info/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-aelggialp-berggasthaus
AFTERWORK Hotel Etoy,Businesshotel,Seminarhotel,,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,En Bellevue 1,1163,Etoy,+41215776440,reservations@afterworkhotel.ch,https://www.afterworkhotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-afterworkhotel
Agriturismo - Bed & Breakfast Bertazzi Cavagnago,,,,N/A,Nucleo Cavagnago,6749,Cavagnago,+41918642177,info@bertazzi.ch,http://www.bertazzi.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-agriturismo-bb-bertazzi
Agriturismo Miravalle Brusio,,,,N/A,La Presa 491,7743,Brusio,+41818465522,info@miravalle.ch,https://www.miravalle.ch/de,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-agriturismo-miravalle
Aïda Hôtel & Spa - Adults only Crans-Montana,,,,N/A,Chemin du Béthania 1,3963,Crans-Montana,+41274854111,contact@aidahotelspa.ch,https://www.aidahotelspa.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-aida-castel
Airport Hotel Basel Basel,Businesshotel,,,Klassiert als 3-Sterne Superior Hotel durch HotellerieSuisse,Flughafenstrasse 215,4056,Basel,+41613273030,info@airporthotelbasel.com,https://www.airporthotelbasel.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-airport-hotel-basel
Airport Hotel Bern-Belp Belp,,,,N/A,Flughafenstrasse 57,3123,Belp,+41319616181,info@airhotel.ch,http://www.airhotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-airport-hotel-bern-belp
airporthotel Grenchen Grenchen,,,,N/A,Flughafenstrasse 123,2540,Grenchen,+41326547070,reception@airporthotel.ch,https://www.airporthotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-airporthotel-grenchen
aja Zürich. Das City-Resort Zürich,Wellness,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Vulkanstrasse 108b,8048,Zürich,+41435231200,info.zuerich@ajaresorts.ch,https://www.ajahotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-aja-zuerich-das-city-resort
Aktiv Hotel & Spa Hannigalp Grächen,Familienfreundliches Hotel,Wanderhotel,Wellness,Klassiert als 3-Sterne Superior Hotel durch HotellerieSuisse,Heimine 468,3925,Grächen,+41279551000,info@hannigalp.ch,https://www.hannigalp.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-matterhorn-valley-hotel-spa-hannigalp
Aktivhostel HängeMatt Matt,,,,N/A,Alte Strasse 23,8766,Matt,+41556425013,info@haenge-matt.ch,https://www.haenge-matt.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-aktivhostel-haengematt
Al Ponte Albergo - Ristorante Cademario,,,,N/A,Via Cantonale di Sopra,6936,Cademario,+41916052492,gatti@al-ponte.ch,http://www.al-ponte.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-al-ponte-albergo-ristorante
Alaïa Lodge Crans-Montana,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Route du Rawyl 10,3963,Crans-Montana,+41275641070,hello@alaialodge.ch,https://www.alaialodge.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-le-green
Albana Hotel Silvaplana,Wanderhotel,Golfhotel,Schneesporthotel,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Via vers Mulins 5,7513,Silvaplana,+41818387878,hotel@hotelalbana.ch,https://www.hotelalbana.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albana-hotel
Albergo Al Giardinetto Biasca,,,,N/A,Via A. Pini 21,6710,Biasca,+41918621771,info@algiardinetto.ch,http://www.algiardinetto.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-al-giardinetto
Albergo Altavilla Poschiavo,,,,N/A,Via da Zurcà 27,7742,Poschiavo,+41818440167,hotel@altavilla.ch,https://www.altavilla.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-altavilla
Albergo Bellavista Brissago,,,,N/A,Via Costa die Mezzo 77,6614,Brissago,+41917931222,reservation@bellavista-brissago.ch,http://www.bellavista-brissago.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-bellavista
Albergo Carcani Ascona,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Piazza Giuseppe Motta,6612,Ascona,+41917851717,info@carcani.ch,https://www.carcani.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-carcani
Albergo Cardada Locarno,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,,6600,Locarno,+41917513595,hotelcardada@gmail.com,http://www.mountainhotelcardada.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-cardada
Albergo Casa Soledaria Cavigliano,,,,N/A,Via Cantoi 19,6654,Cavigliano,+41917961115,casa@soledaria.ch,http://www.soledaria.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-casa-soledaria
Albergo Centrale Poschiavo,,,,N/A,Via da Mezz 24,7742,Poschiavo,+41818440127,centrale@poschiavoexperience.ch,https://hotel-centrale.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-centrale
Albergo Cereda Sementina,,,,N/A,Via Locarno 10,6514,Sementina,+41918518080,info@hotelcereda.ch,https://www.hotelcereda.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-cereda
Albergo Ceresio Lugano,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Via S. Balestra 19,6900,Lugano,+41919231044,info@hotelceresio.ch,https://www.hotelceresio.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-ceresio
Albergo Della Posta Astano,,,,N/A,Via Domenico Trezzini 10,6999,Astano,+41916083265,info@posta-astano.ch,http://www.posta-astano.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-della-posta
Albergo e Ristorante Robiei Cavergno,,,,N/A,Via in Selva 11,6690,Cavergno,+41917565020,info@robiei.ch,http://www.robiei.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-e-ristorante-robiei
Albergo Elvezia Rivera,,,,N/A,Via Cantonale 36,6802,Rivera,+41919464627,info@albergoelvezia.ch,https://www.albergoelvezia.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-elvezia
Albergo Federale Lugano,Businesshotel,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Via Paolo Regazzoni 8,6900,Lugano,+41919100808,info@hotel-federale.ch,https://www.hotel-federale.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-federale
Albergo Garni Casa Ambica Gordevio,,,,N/A,,6672,Gordevio,+41917531012,info@casa-ambica.ch,http://www.casa-ambica.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-garni-casa-ambica
Albergo Garni Elena Losone,Golfhotel,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Via Gaggioli 15,6616,Losone,+41917916326,hotel@garni-elena.ch,http://www.garni-elena.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-garni-elena
Albergo Lardi Le Prese,,,,N/A,,7746,Le,+41818440332,albergo.lardi@bluewin.ch,http://www.albergolardi.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-lardi
Albergo Losone Losone,,,,N/A,Via dei Pioppi 14,6616,Losone,+41917857000,info@albergolosone.ch,https://www.albergolosone.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-losone
Albergo Mirador Ascona,,,,N/A,Via Lido 28,6612,Ascona,+41917911666,info@miradorascona.ch,https://www.miradorascona.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-mirador
Albergo Miralago Miralago,,,,N/A,Miralago 10,7743,Miralago,+41818392000,info@albergomiralago.ch,https://www.albergomiralago.ch/de/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-miralago
Albergo Moosmann Gandria,,,,N/A,,6978,Gandria,+41919717261,hotel_moosmann@bluewin.ch,http://www.hotel-moosmann-gandria.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-moosmann
Albergo Olivone & Posta Olivone,,,,N/A,,6718,Olivone,+41918721366,info@hotel-olivone.ch,http://info@hotel-olivone.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-olivone-posta
Albergo Ospizio Bernina Ospizio Bernina,,,,N/A,,7710,Ospizio,+41818440303,info@bernina-hospiz.ch,http://www.bernina-hospiz.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ospizio-bernina
Albergo Osteria Ticino Ascona,Ausgezeichnete Küche,,,Klassiert als 2-Sterne Hotel durch HotellerieSuisse,Via Muraccio 20,6612,Ascona,+41917913581,info@osteria-ticino.ch,http://www.osteria-ticino.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-osteria-ticino
Albergo Posta Bignasco,,,,N/A,Via Lavizzara 1,6676,Bignasco,+41917541123,albergoposta@icloud.com,http://www.ticino.ch/de/hotels/details/Posta-Albergo-/12124.html,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-posta
Albergo Ristorante campagna Frasco,,,,N/A,Torbola 1,6636,Frasco,+41917461146,info@albergocampagna.ch,http://www.albergocampagna.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ristorante-campagna
Albergo Ristorante Crameri S. Carlo (Poschiavo),,,,N/A,Via Principale,7741,S.,+41818441624,N/A,http://www.albergocampagna.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ristorante-crameri
Albergo Ristorante Croce Bianca Poschiavo,,,,N/A,Via da Mezz 97,7742,Poschiavo,+41818440144,relax@croce-bianca.ch,https://www.croce-bianca.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-croce-bianca
Albergo Ristorante La Palma Bissone,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Piazza Borromini,6816,Bissone,+41916498406,lapalma@futuraristoranti.com,http://www.palmabissone.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ristorante-la-palma
Albergo Ristorante Svizzero Capolago,,,,Klassiert als 2-Sterne Hotel durch HotellerieSuisse,Via Famiglia Avvocato Scacchi 13,6825,Capolago,+41916481975,svizzero@futuraristoranti.com,http://www.albergoristorantesvizzero.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ristorante-svizzero
Albergo Ristorante Zelindo Arcegno,,,,N/A,Via Enrico Pestalozzi 17,6618,Arcegno,+41917913446,zelindo@bluewin.ch,http://www.zelindo.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ristorante-zelindo
Albergo Ronco Ronco sopra Ascona,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Piazza della Madonna 1,6622,Ronco,+41917915265,info@hotel-ronco.ch,https://www.hotel-ronco.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-ronco
Albergo Rovere Losone,,,,N/A,Via Primore 11,6616,Losone,+41917917626,albergorovere@hotmail.com,http://www.albergorovere.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-rovere
Albergo San Gottardo Airolo,Wanderhotel,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Via Fontana 3,6780,Airolo,+41918691180,info@passosangottardo.ch,https://passosangottardo.ch/de/unterkunfte/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-san-gottardo
Albergo Santana e Ristorante Roveredo GR,,,,N/A,Strada de San Fedee,6535,Roveredo,+41918273258,info@hotel-santana.ch,http://www.hotel-santana.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-santana-e-ristorante
Albergo Stazione Mendrisio,,,,N/A,,6850,Mendrisio,+41916462244,stazionemendrisio@gmail.com,http://www.albergostazione.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-stazione-1
Albergo Stazione Bodio TI,,,,N/A,Via Stazione,6743,Bodio,+41918641937,info@albergostazionebodio.ch,http://www.albergostazionebodio.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-stazione
Albergo Vecchia Locarno Locarno,,,,N/A,Via della Motta 10,6600,Locarno,+41917516502,hotel@vecchia-locarno.ch,http://www.vecchia-locarno.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-vecchia-locarno
Albergo Villa Marita Breganzona,,,,N/A,Via Lucino 49,6932,Breganzona,+41919660561,info@villamarita.ch,http://www.villamarita.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-villa-marita
Albergo Zarera Sfazù,,,,N/A,,7742,Sfazù,+41818441282,info@zarera.ch,http://www.zarera.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-albergo-zarera
ALDEN Suite Hotel Splügenschloss Zurich Zürich,,,,Klassiert als 5-Sterne Hotel durch HotellerieSuisse,Splügenstrasse 2,8002,Zürich,+41442899999,welcome@alden.ch,https://www.alden.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alden-suite-hotel-spluegenschloss-zurich
All in Hotel Saas-Fee Saas-Fee,,,,N/A,,3906,Saas-Fee,+41279574300,info@hotelsaasfee.ch,http://www.hotelsaasfee.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-all-in-hotel-saas-fee
All In One Hotel Inn Lodge Celerina/Schlarigna,Schneesporthotel,Bikehotel,,Klassiert als Swiss Lodge durch HotellerieSuisse,Via Nouva 3,7505,Celerina/Schlarigna,+41818344795,info@innlodge.ch,http://www.innlodge.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-all-in-one-hotel-inn-lodge
Allegro Alpin Lodge Einsiedeln,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Lincolnweg 23,8840,Einsiedeln,+41554188888,info@hotel-allegro.ch,https://www.hotel-allegro.ch/de/schlafen/alpinlodge,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-allegro-pilgerhaus
Alma Hotel Zürich,Design & Lifestyle,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Mainaustrasse 24,8008,Zürich,+41443808010,info@almahotel.ch,https://www.almahotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-ladys-first-hotel
Alp Art Hotel Collombey,,,,N/A,Chemin du Verger 5,1868,Collombey,+41244201176,info@alparthotel.ch,https://www.alparthotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alp-art-hotel
Alp-Ausflugs-Ski-Pistenhotel Klewenstock Beckenried,,,,N/A,Klewenstock 1,6375,Beckenried,+41416201784,maurus.waser@bluewin.ch,https://www.1144.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alp-ausflugs-ski-pistenhotel-klewenstock
Alpen Resort Hotel & Spa Zermatt,Wanderhotel,Wellness,Schneesporthotel,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Spissstrasse 52,3920,Zermatt,+41279663000,info@alpenresort.com,https://www.alpenresort.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpen-resort-hotel
Alpenblick Bergrestaurant & Hotel Arosa,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Ifängiweg 9,7050,Arosa,+41813771428,post@alpenblickarosa.ch,https://www.alpenblickarosa.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpenblick-bergrestaurant-hotel
Alpenblick Bern - kind of a hotel Bern,,,,N/A,Kasernenstrasse 29,3013,Bern,+41313356666,office@alpenblickbern.ch,https://www.alpenblickbern.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpenblick-bern-kind-of-a-hotel
Alpenblick Weggis – Panorama & Alpen Chic Hotel Weggis,,,,N/A,Luzernerstrasse 31,6353,Weggis,+41413990505,info@alpenblick-weggis.ch,https://www.alpenblick-weggis.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-alpenblick-7
Alpenblick Wellnesshotel Fieschertal,,,,N/A,Zer Flie 2,3984,Fieschertal,+41279701660,info@hotelalpenblick.ch,http://www.hotelalpenblick.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpenblick-wellnesshotel
Alpengasthof Alpina Samnaun Dorf,,,,N/A,Dorfstrasse 42,7563,Samnaun,+41818685122,hotelalpina.samnaun@gmail.com,http://www.myswitzerland.com/de-ch/hotels/stchotel-15826.html,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpengasthof-alpina
Alpengasthof Crusch Alba ed Alvetern Scuol,,,,N/A,S-charl 571,7550,Scuol,+41818641405,info@cruschalba.ch,https://www.cruschalba.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpengasthof-crusch-alba-ed-alvetern
AlpenGold Davos Davos Dorf,Top Familienhotel,Design & Lifestyle,Kongresshotel,Klassiert als 5-Sterne Hotel durch HotellerieSuisse,Baslerstrasse 9,7260,Davos,+41814140400,info@alpengoldhotel.com,https://alpengoldhotel.com/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-intercontinental-davos
Alpenhotel Rodania Saas-Grund,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Saastalstrasse 76,3910,Saas-Grund,+41279572423,info@alpenhotel-rodania.ch,http://www.alpenhotel-rodania.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-alpenhotel-rodania
